PERMNO,date,TICKER,FACPR,PRC
12508,01/28/2011,VXUS,,49.33000
12508,01/31/2011,VXUS,,49.88000
12508,02/01/2011,VXUS,,50.95000
12508,02/02/2011,VXUS,,50.69000
12508,02/03/2011,VXUS,,50.78000
12508,02/04/2011,VXUS,,50.75000
12508,02/07/2011,VXUS,,50.89000
12508,02/08/2011,VXUS,,50.97000
12508,02/09/2011,VXUS,,50.66000
12508,02/10/2011,VXUS,,50.19000
12508,02/11/2011,VXUS,,50.38000
12508,02/14/2011,VXUS,,50.50000
12508,02/15/2011,VXUS,,50.34000
12508,02/16/2011,VXUS,,50.97000
12508,02/17/2011,VXUS,,51.18000
12508,02/18/2011,VXUS,,51.27000
12508,02/22/2011,VXUS,,49.99000
12508,02/23/2011,VXUS,,49.94000
12508,02/24/2011,VXUS,,50.01000
12508,02/25/2011,VXUS,,50.58000
12508,02/28/2011,VXUS,,51.04000
12508,03/01/2011,VXUS,,50.46000
12508,03/02/2011,VXUS,,50.83000
12508,03/03/2011,VXUS,,51.41920
12508,03/04/2011,VXUS,,51.07990
12508,03/07/2011,VXUS,,50.74410
12508,03/08/2011,VXUS,,50.92000
12508,03/09/2011,VXUS,,50.86000
12508,03/10/2011,VXUS,,49.59990
12508,03/11/2011,VXUS,,49.78000
12508,03/14/2011,VXUS,,49.06000
12508,03/15/2011,VXUS,,48.20000
12508,03/16/2011,VXUS,,46.86000
12508,03/17/2011,VXUS,,48.06300
12508,03/18/2011,VXUS,,48.80000
12508,03/21/2011,VXUS,,49.85000
12508,03/22/2011,VXUS,,49.73000
12508,03/23/2011,VXUS,,49.94610
12508,03/24/2011,VXUS,,50.45000
12508,03/25/2011,VXUS,,50.13000
12508,03/28/2011,VXUS,,49.90000
12508,03/29/2011,VXUS,,50.30000
12508,03/30/2011,VXUS,,50.97000
12508,03/31/2011,VXUS,,50.91000
12508,04/01/2011,VXUS,,51.36000
12508,04/04/2011,VXUS,,51.63000
12508,04/05/2011,VXUS,,51.43010
12508,04/06/2011,VXUS,,51.81000
12508,04/07/2011,VXUS,,51.55000
12508,04/08/2011,VXUS,,51.94000
12508,04/11/2011,VXUS,,51.62000
12508,04/12/2011,VXUS,,51.13100
12508,04/13/2011,VXUS,,51.34300
12508,04/14/2011,VXUS,,51.46000
12508,04/15/2011,VXUS,,51.43000
